OBJECTID,MPD_ARREST_NUMBER,MPD_ARREST_DATE,PERSON_TYPE,TOP_CHARGE,MPD_CHARGE_CATEGORY,MPD_CHARGE_DESCRIPTION,CHARGE_CODE,AGE,ARREST_COUNT,RACE,ETHNICITY,SEX,HOME_PSA,ARREST_DISTRICT,ARREST_PSA,HOME_CITY,HOME_STATE,PDID,CCN,LATITUDE,LONGITUDE,DMPSJ_CATEGORY,YEAR,MONTH,IS_MARIJUANA,CREATOR,CREATED,EDITOR,EDITED,GLOBALID
3055,111845015378207416296958328225312541788,2016/05/11 19:00:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Carry Dangerous Weapon- Felony,22DC4504A[1][2],64,8,Black,Not Hispanic Or Latino,Male,408,3D,302,WASHINGTON,DC,37416677790710202712704616199782910791,38632758538156193380490769168900482814,38.927,-77.035,Weapons,2016,5,FALSE,,,,,{DF16EF65-D73A-41E5-9E03-27A99AA2622F}
3056,91970377203020243447624123260643840329,2016/05/11 20:11:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,48,13,Black,Not Hispanic Or Latino,Male,Unknown,1D,102,nan,nan,13033141998939692792488932272804409816,202816628815625262943908956983462744545,38.898,-77.021,Failure to appear,2016,5,FALSE,,,,,{C0C05334-7849-4732-9CA0-14B5A08562D3}
3057,91970377203020243447624123260643840329,2016/05/11 20:11:00,DEFENDANT IN ARREST,nan,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,48,13,Black,Not Hispanic Or Latino,Male,Unknown,1D,102,nan,nan,13033141998939692792488932272804409816,202816628815625262943908956983462744545,38.898,-77.021,Failure to appear,2016,5,FALSE,,,,,{E4A8523F-5AFE-4140-A849-D985D7A89239}
3058,134117945150549694954639217051738217115,2016/05/11 20:31:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,51,9,Black,Not Hispanic Or Latino,Female,507,5D,506,WASHINGTON,DC,338815451793421177434029909765848892162,142650094183059475165928930162182522918,,,Failure to appear,2016,5,FALSE,,,,,{13F35B72-28D9-4373-A130-C42EAA13FA1C}
3059,199204436092635292783264251972494580275,2016/05/11 21:38:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),20,2,Black,Not Hispanic Or Latino,Male,304,1D,102,WASHINGTON,DC,154313692393453707367441448691182725447,271770794765185834671502209851116366389,38.899,-77.022,Assault,2016,5,FALSE,,,,,{1DC46E93-F609-424B-9585-F51D5138A720}
3060,76584207188231149359905748408737075030,2016/05/11 21:58:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,39,44,Black,Not Hispanic Or Latino,Female,Unknown,5D,506,nan,nan,262653749525440860323981491697339599941,232882477401239545644786683408528756299,38.91,-76.984,Failure to appear,2016,5,FALSE,,,,,{9D53B7AC-4DD2-4387-AE05-5724E2D8B3DC}
3061,76584207188231149359905748408737075030,2016/05/11 21:58:00,DEFENDANT IN ARREST,nan,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,39,44,Black,Not Hispanic Or Latino,Female,Unknown,5D,506,nan,nan,262653749525440860323981491697339599941,232882477401239545644786683408528756299,38.91,-76.984,Failure to appear,2016,5,FALSE,,,,,{89D90B6C-0FFD-4FC9-82A9-7889A840B321}
3062,76584207188231149359905748408737075030,2016/05/11 21:58:00,DEFENDANT IN ARREST,nan,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,39,44,Black,Not Hispanic Or Latino,Female,Unknown,5D,506,nan,nan,262653749525440860323981491697339599941,232882477401239545644786683408528756299,38.91,-76.984,Failure to appear,2016,5,FALSE,,,,,{347B91CE-2EFB-412B-9977-ECD4637207BB}
3063,330368603214281640705404904144870566249,2016/05/11 22:10:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Carry Pistol Outside Home/business,22DC4504A1-Y-1,22,6,Black,Not Hispanic Or Latino,Male,603,6D,603,WASHINGTON,DC,94363647333617531615124610320848749027,241279006619142847584733930099537883936,38.891,-76.94,Weapons,2016,5,FALSE,,,,,{A7A4A3E1-35EF-4363-B532-258E9CE83E3A}
3064,338053334068586490475387485933258734318,2016/05/12 01:31:00,DEFENDANT IN ARREST,Yes,Simple Assault,Threat To Kidnap Or Injure A Person,22DC1810,35,32,Black,Not Hispanic Or Latino,Male,Unknown,5D,501,nan,nan,287275705186426757338948891490883228677,303851312271575311358034641894245084437,38.908,-77.006,Assault,2016,5,FALSE,,,,,{07988E6B-B0BA-4057-B0A0-C42DF7321A17}
3065,338053334068586490475387485933258734318,2016/05/12 01:31:00,DEFENDANT IN ARREST,nan,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,35,32,Black,Not Hispanic Or Latino,Male,Unknown,5D,501,nan,nan,287275705186426757338948891490883228677,303851312271575311358034641894245084437,38.908,-77.006,Failure to appear,2016,5,FALSE,,,,,{44ACC427-E481-440A-A702-3683CEFDD11B}
3066,338053334068586490475387485933258734318,2016/05/12 01:31:00,DEFENDANT IN ARREST,nan,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,35,32,Black,Not Hispanic Or Latino,Male,Unknown,5D,501,nan,nan,287275705186426757338948891490883228677,303851312271575311358034641894245084437,38.908,-77.006,Failure to appear,2016,5,FALSE,,,,,{27E4B5D7-063E-43DA-9F83-EDCAB8E3A7A6}
3067,133088139606318759889191938174004523235,2016/05/12 06:45:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),21,1,Black,Unknown,Male,OUT OF STATE,6D,608,CAPITOL HEIGHTS,MD,135788143367544086320722863236707764612,237799480962876825895122562678914782327,38.9,-76.93,Assault,2016,5,FALSE,,,,,{EA59C76F-5436-42F0-930E-0166FFAE095C}
3068,120602062251981045473198938848827358583,2016/05/12 09:43:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,32,7,Black,Unknown,Male,Unknown,1D,101,nan,nan,283020435268788113275111449431699196101,139475968771051467461236593098565619024,38.898,-77.024,Failure to appear,2016,5,FALSE,,,,,{BBF90956-7A34-44F6-8EC0-5ECD5E0462CC}
3069,161674959391225453584906811730998454051,2016/05/12 10:20:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),46,2,Black,Unknown,Male,104,2D,207,UPPER MARLBORO,MD,18108764147891763099935428210862175809,258578309629597290383809193923056175929,38.901,-77.04,Assault,2016,5,FALSE,,,,,{98EB9B36-723C-4F3B-ACFA-37373A2AD735}
3070,302559832649523981424890989822647302964,2016/05/12 12:00:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,34,29,Black,Not Hispanic Or Latino,Female,501,5D,501,WASHINGTON,DC,185541130270148169794039580800369237824,219685066343587011912483077966183410473,38.908,-77.006,Failure to appear,2016,5,FALSE,,,,,{3025303A-BEE7-4ABA-8503-57690C4C89A4}
3071,302559832649523981424890989822647302964,2016/05/12 12:00:00,DEFENDANT IN ARREST,nan,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,34,29,Black,Not Hispanic Or Latino,Female,501,5D,501,WASHINGTON,DC,185541130270148169794039580800369237824,219685066343587011912483077966183410473,38.908,-77.006,Failure to appear,2016,5,FALSE,,,,,{D8B641F5-BC53-4CAF-827F-CBCAF5DC6802}
3072,302559832649523981424890989822647302964,2016/05/12 12:00:00,DEFENDANT IN ARREST,nan,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,34,29,Black,Not Hispanic Or Latino,Female,501,5D,501,WASHINGTON,DC,185541130270148169794039580800369237824,219685066343587011912483077966183410473,38.908,-77.006,Failure to appear,2016,5,FALSE,,,,,{04F5FDA7-B1D8-405E-B07E-590D1921078A}
3073,302559832649523981424890989822647302964,2016/05/12 12:00:00,DEFENDANT IN ARREST,nan,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,34,29,Black,Not Hispanic Or Latino,Female,501,5D,501,WASHINGTON,DC,185541130270148169794039580800369237824,219685066343587011912483077966183410473,38.908,-77.006,Failure to appear,2016,5,FALSE,,,,,{1DADB735-FE1B-449C-AE0B-B9FFCF95AF72}
3074,244833924166709558264573226614444290955,2016/05/12 12:53:00,DEFENDANT IN ARREST,Yes,Burglary,Burglary Two,22DC801B,19,9,Black,Unknown,Male,505,1D,102,WASHINGTON,DC,292896730446182149523089961732255784214,86564057969667112378312867823736708153,38.894,-77.021,Burglary,2016,5,FALSE,,,,,{3A1E8D15-1391-4DB0-8639-C821CEA66B11}
3075,244833924166709558264573226614444290955,2016/05/12 12:53:00,DEFENDANT IN ARREST,nan,Burglary,Burglary Two,22DC801B,19,9,Black,Unknown,Male,505,1D,102,WASHINGTON,DC,292896730446182149523089961732255784214,86564057969667112378312867823736708153,38.894,-77.021,Burglary,2016,5,FALSE,,,,,{AEA280AB-0B69-40E8-8D80-13AB7ADFD866}
3076,122888032200682292394977245312475321401,2016/05/12 13:25:00,DEFENDANT IN ARREST,Yes,Narcotics,Knowing/intentionally Possess Mixture And Substance Containing Cocaine,21USC00844A,59,0,Black,Not Hispanic Or Latino,Female,701,7D,702,WASHINGTON,DC,197219107241149781224630907391651124417,290032689862776252702640821511603703040,38.853,-76.972,Drugs,2016,5,FALSE,,,,,{90290CA5-CC0A-41F3-91C5-0716E78FFCB0}
3077,270375384570937348736964079481617270870,2016/05/12 15:10:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,28,8,Black,Not Hispanic Or Latino,Female,701,7D,701,WASHINGTON,DC,7761111892200812258595032529450045852,94018773515079536470773370956983856507,38.861,-76.973,Failure to appear,2016,5,FALSE,,,,,{65CDD83A-B1A4-48DC-9F44-0A635449DFC0}
3078,270375384570937348736964079481617270870,2016/05/12 15:10:00,DEFENDANT IN ARREST,nan,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,28,8,Black,Not Hispanic Or Latino,Female,701,7D,701,WASHINGTON,DC,7761111892200812258595032529450045852,94018773515079536470773370956983856507,38.861,-76.973,Failure to appear,2016,5,FALSE,,,,,{5579D5B8-BC7F-4270-85B0-8BB5E2E21F5D}
3079,193968983712520254061134108955244046722,2016/05/12 15:15:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,33,10,Black,Unknown,Male,501,3D,307,MINNEAPOIS,MN,204205824430186341068072734873520140492,253418079137580611043629200359210276909,38.912,-77.024,Failure to appear,2016,5,FALSE,,,,,{E48D00F9-FF90-441A-845C-E2C514BF830A}
3080,24775176295425312513252547955415881284,2016/05/12 16:44:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,34,9,Unknown,Not Hispanic Or Latino,Male,605,6D,602,WASHINGTON,DC,12007110070617455064748693580519126335,151497787381362158278895748366096603217,38.896,-76.931,Drugs,2016,5,FALSE,,,,,{83CB7B87-AC36-4FB5-AC2B-D306CFF0BD10}
3081,67292819490295323264212683965747918295,2016/05/12 17:55:00,DEFENDANT IN ARREST,Yes,Narcotics,Unlawful Possession Of Liquid Pcp,48DC904.01(D)(2),35,4,Black,Not Hispanic Or Latino,Male,101,7D,703,WASHINGTON,DC,217874106042101672573770799416025813214,301750051892855492571881137803805103568,38.855,-76.991,Drugs,2016,5,FALSE,,,,,{8C8867C3-D419-4AF9-8D57-958DBD41F24E}
3082,162818935394708956297595044669245877389,2016/05/12 17:55:00,DEFENDANT IN ARREST,Yes,Homicide,Murder I,22DC2101-Y,35,4,Black,Not Hispanic Or Latino,Male,101,7D,703,WASHINGTON,DC,217874106042101672573770799416025813214,188657757198085668310870179587912898166,38.855,-76.991,Homicide,2016,5,FALSE,,,,,{FB708737-C9B2-403B-B751-B44571595E16}
3083,162818935394708956297595044669245877389,2016/05/12 17:55:00,DEFENDANT IN ARREST,nan,Weapon Violations,Carry Pistol Outside Home/business,22DC4504A1-Y-1,35,4,Black,Not Hispanic Or Latino,Male,101,7D,703,WASHINGTON,DC,217874106042101672573770799416025813214,188657757198085668310870179587912898166,38.855,-76.991,Weapons,2016,5,FALSE,,,,,{5DA0A7AE-914A-4B07-A24E-95C4CE614482}
3084,60904322117331431301180615637525903475,2016/05/12 18:02:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,26,13,Black,Unknown,Male,603,6D,603,WASHINGTON,DC,227566850897675525109516293254096935227,111047490285416489097115594900867042240,38.892,-76.949,Drugs,2016,5,FALSE,,,,,{5720558A-7D47-45E0-9CF0-664D29316461}
3085,205652289271724879107251174702734732871,2016/05/12 18:09:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,22DC4504(A)-Y-3,18,6,Black,Not Hispanic Or Latino,Male,104,7D,707,WASHINGTON,DC,53853088411533480135532599319880464314,51189294406748256428500383622385442664,38.848,-76.996,Weapons,2016,5,FALSE,,,,,{39C67943-9FA4-47DB-B12A-01B3C230C7E3}
3086,205652289271724879107251174702734732871,2016/05/12 18:09:00,DEFENDANT IN ARREST,nan,Weapon Violations,Felon In Possession,22DC4503A2,18,6,Black,Not Hispanic Or Latino,Male,104,7D,707,WASHINGTON,DC,53853088411533480135532599319880464314,51189294406748256428500383622385442664,38.848,-76.996,Weapons,2016,5,FALSE,,,,,{D5055AD9-87C6-4C2D-B19E-34DB70F66D23}
3087,205652289271724879107251174702734732871,2016/05/12 18:09:00,DEFENDANT IN ARREST,nan,Property Crimes,Tampering With Physical Evidence,22DC723,18,6,Black,Not Hispanic Or Latino,Male,104,7D,707,WASHINGTON,DC,53853088411533480135532599319880464314,51189294406748256428500383622385442664,38.848,-76.996,Obstruction of justice,2016,5,FALSE,,,,,{B32B6DF3-72B5-45A2-BC65-0B292EEE13ED}
3088,232782326521011266338661869277227949216,2016/05/12 18:21:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,54,24,Black,Not Hispanic Or Latino,Male,101,5D,501,WASHINGTON,DC,36306481652182011071288553349456023759,157443950136760425228362417673810447286,38.907,-77.01,Failure to appear,2016,5,FALSE,,,,,{E57BCFAC-C1E8-471D-8E45-A31B0964A05C}
3089,250956855843975995852751445910914790966,2016/05/12 18:39:00,DEFENDANT IN ARREST,Yes,Sex Offenses,Enticing A Child-felony (rape),22DC3010,29,0,White,Hispanic Or Latino,Male,OUT OF STATE,6D,608,BALTIMORE,MD,9971159507488976574862449890410924564,327066171871465283993313277870033122195,38.9,-76.93,Sex offense,2016,5,FALSE,,,,,{5CA17136-7E8D-4346-A683-5E2B6F80B635}
3090,266540002737214071624616498196769907863,2016/05/12 18:50:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,46,16,Black,Not Hispanic Or Latino,Male,102,1D,104,WASHINGTON,DC,206197909306875627775067447174367110755,159060369517070576248181542249884439158,38.9,-76.991,Failure to appear,2016,5,FALSE,,,,,{4BC7C143-6BA0-45FF-82A3-AD9445E2FF1B}
3091,266540002737214071624616498196769907863,2016/05/12 18:50:00,DEFENDANT IN ARREST,nan,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,46,16,Black,Not Hispanic Or Latino,Male,102,1D,104,WASHINGTON,DC,206197909306875627775067447174367110755,159060369517070576248181542249884439158,38.9,-76.991,Failure to appear,2016,5,FALSE,,,,,{0F77B2FD-1A42-4079-BFBE-34A9B7D064E4}
3092,295922282879681831255038359471799619189,2016/05/12 19:05:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,38,21,Black,Not Hispanic Or Latino,Male,506,5D,503,WASHINGTON,DC,275005057356187535618744074373374665523,9287422281040852912187227126612252393,,,Failure to appear,2016,5,FALSE,,,,,{937CBAB3-C38E-40E4-B717-086B294F2E7C}
3093,295922282879681831255038359471799619189,2016/05/12 19:05:00,DEFENDANT IN ARREST,nan,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,38,21,Black,Not Hispanic Or Latino,Male,506,5D,503,WASHINGTON,DC,275005057356187535618744074373374665523,9287422281040852912187227126612252393,,,Failure to appear,2016,5,FALSE,,,,,{A4AF8E8D-A82B-475A-90E5-315A39EDF041}
3094,295922282879681831255038359471799619189,2016/05/12 19:05:00,DEFENDANT IN ARREST,nan,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,38,21,Black,Not Hispanic Or Latino,Male,506,5D,503,WASHINGTON,DC,275005057356187535618744074373374665523,9287422281040852912187227126612252393,,,Failure to appear,2016,5,FALSE,,,,,{12CC2713-9130-4CF7-BD5A-A12FF93728C1}
3095,22756423621085446385872933402880195727,2016/05/12 19:14:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,38,4,Black,Unknown,Male,507,1D,104,WASHINGTON,DC,271581809338990064897171188814993700549,210206845829105748281112947843410496778,38.899,-76.993,Drugs,2016,5,FALSE,,,,,{75F2E3C6-733E-4534-9117-BCAAE1A89984}
3096,174672174752694069189535142127831912285,2016/05/12 19:15:00,DEFENDANT IN ARREST,Yes,Narcotics,Unlawful Possession Of Liquid Pcp,48DC904.01(D)(2),39,5,Black,Not Hispanic Or Latino,Male,506,1D,107,WASHINGTON,DC,304743640270284888830220649835507075176,195868495389265822074758355295474811520,38.881,-76.991,Drugs,2016,5,FALSE,,,,,{11778B7B-C1FF-471C-806D-F92C1935F3C5}
3097,306680017800075781368571896578116204157,2016/05/12 19:25:00,DEFENDANT IN ARREST,Yes,Assault on a Police Officer,Assault On A Police Officer (aggravated Assault),22DC405C,18,4,Black,Not Hispanic Or Latino,Male,405,7D,703,WASHINGTON,DC,136453212140831755882740542266146315302,59207347478984166658171152388165989217,38.86,-76.992,Assault on a police officer,2016,5,FALSE,,,,,{AAD4C67C-B956-4E5F-B6DC-F5405D9B9B76}
3098,306680017800075781368571896578116204157,2016/05/12 19:25:00,DEFENDANT IN ARREST,nan,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,22DC4504(A)-Y-3,18,4,Black,Not Hispanic Or Latino,Male,405,7D,703,WASHINGTON,DC,136453212140831755882740542266146315302,59207347478984166658171152388165989217,38.86,-76.992,Weapons,2016,5,FALSE,,,,,{7AC9C401-67F1-450D-AF93-79309D1DBD13}
3099,122327614605072548719146751048658968716,2016/05/12 21:00:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),39,1,Black,Not Hispanic Or Latino,Female,703,6D,603,WASHINGTON,DC,318890324107797222353256743646969800881,246822760673277015703439019226675190415,38.886,-76.954,Assault,2016,5,FALSE,,,,,{28F2F542-6739-4FAA-B0A5-1E880712D7A4}
3100,2305144091206712607793565902203309996,2016/05/12 21:05:00,DEFENDANT IN ARREST,Yes,Theft,Theft First Degree (all Other Larceny),"22DC3211,3212B",21,1,Black,Not Hispanic Or Latino,Female,505,4D,406,WASHINGTON,DC,259892646481386741419993150895700683548,176691337070692996293817839003191673266,38.958,-77.002,Theft,2016,5,FALSE,,,,,{A0BA1BE9-4097-4F63-8C28-4FC741D9E9CB}
3101,288758946411566347119001669039502539680,2016/05/12 21:25:00,DEFENDANT IN ARREST,Yes,Theft,Theft First Degree (all Other Larceny),"22DC3211,3212B",21,0,Black,Not Hispanic Or Latino,Male,603,4D,406,WASHINGTON,DC,148855804509930416030008841458670756357,318385116855819569976331934478914629520,38.958,-77.002,Theft,2016,5,FALSE,,,,,{ADF6473B-494B-4957-9173-A9DA2D415CF4}
3102,54861382177323265837945356446169017255,2016/05/12 23:18:00,DEFENDANT IN ARREST,Yes,Robbery,Robbery,22DC2801,55,4,Black,Not Hispanic Or Latino,Male,501,5D,501,WASHINGTON,DC,251486858498003385180727245955823953931,122265978012564639483267902776529022755,38.913,-77.012,Robbery,2016,5,FALSE,,,,,{C3D5256B-775E-4B18-BF9D-45767540D85A}
3103,165303920502184554267390909175560106859,2016/05/12 23:30:00,DEFENDANT IN ARREST,Yes,Robbery,Robbery,22DC2801,19,0,Black,Not Hispanic Or Latino,Male,501,5D,501,WASHINGTON,DC,231195530441311525992947944545292940498,298057037304881120612799822696269227691,38.911,-77.013,Robbery,2016,5,FALSE,,,,,{8C05289F-E154-4C7C-8704-C625D59D5288}
3104,52164885301648232577629750184867864242,2016/05/13 06:00:00,DEFENDANT IN ARREST,Yes,Burglary,Burglary Two,22DC801B,21,1,Black,Not Hispanic Or Latino,Male,Unknown,6D,608,nan,nan,187050822354720550168506721280018563749,174708668041331774659300255585132390609,38.891,-76.925,Burglary,2016,5,FALSE,,,,,{8676896B-518A-4275-B156-5143860A1B2C}
3105,259871147776730156139802568608724600375,2016/05/13 06:00:00,DEFENDANT IN ARREST,Yes,Burglary,Burglary Two,22DC801B,22,4,Black,Unknown,Male,603,6D,608,WASHINGTON,DC,50659358026722346072317732336437810757,174708668041331774659300255585132390609,38.891,-76.925,Burglary,2016,5,FALSE,,,,,{03D56E5C-1B77-4C4F-988E-594C93C2C968}
3106,17805042351571198573062304668106978367,2016/05/13 06:10:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Possession Of Destructive Device,7DC2501.01(7),31,8,Black,Not Hispanic Or Latino,Male,707,5D,503,WASHINGTON,DC,154806721518095053095631681604237054794,83958111892148902053148490387955665554,38.918,-76.971,Weapons,2016,5,FALSE,,,,,{E81FE917-D32B-4BD0-BAE8-66ABE4844A21}
3107,17805042351571198573062304668106978367,2016/05/13 06:10:00,DEFENDANT IN ARREST,nan,Simple Assault,Threat To Kidnap Or Injure A Person,22DC1810,31,8,Black,Not Hispanic Or Latino,Male,707,5D,503,WASHINGTON,DC,154806721518095053095631681604237054794,83958111892148902053148490387955665554,38.918,-76.971,Assault,2016,5,FALSE,,,,,{EFF9365B-C322-4EE9-ADD0-676DE44A793D}
3108,149835522012390326738832052209091998500,2016/05/13 11:00:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),35,0,Black,Not Hispanic Or Latino,Female,704,7D,704,WASHINGTON,DC,235781211491940830183605090355565330031,266575774167331930186469655344872285223,38.849,-76.976,Assault,2016,5,FALSE,,,,,{77A2B22C-E5A0-482A-8E2C-C269E19B76A6}
3109,56148235126076210978831300596801166936,2016/05/13 11:45:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),32,2,Black,Not Hispanic Or Latino,Male,708,7D,708,WASHINGTON,DC,265282657945128752973320504015575239903,339372265886433141315045733378291661260,38.821,-77.006,Assault,2016,5,FALSE,,,,,{8C97B235-1629-48BF-A82D-EDFEE5B2EA2B}
3110,56148235126076210978831300596801166936,2016/05/13 11:45:00,DEFENDANT IN ARREST,nan,Weapon Violations,Possession Of Unregistered Firearm/unlawful Possession Of A Firearm Or Destructive Device,7DC2502.01,32,2,Black,Not Hispanic Or Latino,Male,708,7D,708,WASHINGTON,DC,265282657945128752973320504015575239903,339372265886433141315045733378291661260,38.821,-77.006,Weapons,2016,5,FALSE,,,,,{163B4232-B233-4840-9303-091283C2082D}
3111,58958991406169915667294255885629154117,2016/05/13 12:30:00,DEFENDANT IN ARREST,Yes,Offenses Against Family & Children,Second Degree Cruelty To Children (simple Assault),22DC1101B,46,5,Black,Unknown,Male,604,6D,604,WASHINGTON,DC,77787802807267153000072648038454635221,238681740841276521522374316118171044574,38.877,-76.93,Cruelty to children,2016,5,FALSE,,,,,{24522A8A-99CC-43AA-9782-84D7FB14F3B1}
3112,58352500405234898918427506965997136585,2016/05/13 12:43:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,67,32,Black,Not Hispanic Or Latino,Male,Unknown,3D,308,nan,nan,196097861311910449850658439607266548586,331377230342396454245864821496047405947,38.91,-77.021,Failure to appear,2016,5,FALSE,,,,,{D30DC7A0-0FCE-4272-A462-0DBEF7667338}
3113,304008291990479658719008070994597575230,2016/05/13 13:29:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),23,0,Black,Unknown,Female,601,6D,608,WASHINGTON,DC,166465633004925449931418199629687360974,18121422732323265214217469157143240404,38.9,-76.93,Assault,2016,5,FALSE,,,,,{D0D9FC43-D3C1-4567-B9B4-6213E06316BB}
3114,327682882444524020320547918789226104994,2016/05/13 15:43:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,21,19,Black,Unknown,Male,Unknown,6D,603,nan,nan,326518800384097080484402728303233625623,230290635286722223902930742937410798410,38.89,-76.954,Drugs,2016,5,FALSE,,,,,{CEE7DCD0-9378-4975-94F0-19CA7E3160A7}
3115,148579858496039871082012660130545612815,2016/05/13 15:55:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),25,6,Black,Not Hispanic Or Latino,Male,704,7D,704,WASHINGTON,DC,113484596830440808245490486054081298047,75316239797856579499990841376515418964,38.848,-76.981,Assault,2016,5,FALSE,,,,,{D2D54E19-F6BB-4C60-AD4B-63310C763BB0}
3116,85976231805742829773114418058872633752,2016/05/13 16:40:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,18,15,Black,Not Hispanic Or Latino,Male,608,7D,707,WASHINGTON,DC,217893283965070773565033775745015552133,63543648840767142811486134683333785241,38.844,-76.998,Failure to appear,2016,5,FALSE,,,,,{B7922D88-72CD-45E4-9C3E-39FE89D4AE31}
3117,175438121785730280598056934282874117302,2016/05/13 16:55:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,53,2,Black,Unknown,Male,603,6D,603,WASHINGTON,DC,202441319905322096136303149001233903546,59460528444467821626798171759308762597,38.893,-76.95,Drugs,2016,5,FALSE,,,,,{707878C8-E260-4ABA-878F-743DDD58CBE3}
3118,212004842924882037697625318465169800825,2016/05/13 17:28:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,38,3,Black,Not Hispanic Or Latino,Male,107,6D,602,WASHINGTON,DC,162076824671488789429062035261787566853,287318465934113599804444446339396960109,38.896,-76.927,Drugs,2016,5,FALSE,,,,,{FC7B0CBD-9735-4B4D-BD8F-103C73455EC3}
3119,96075360015037070259279372085596869620,2016/05/13 17:30:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,26,24,Black,Not Hispanic Or Latino,Male,306,3D,305,WASHINGTON,DC,314003050844660809477559395323623586030,170393282554903313414795744061704474245,38.916,-77.022,Failure to appear,2016,5,FALSE,,,,,{7F4E6098-AE24-47FB-AF35-39AF7613BF95}
3120,96075360015037070259279372085596869620,2016/05/13 17:30:00,DEFENDANT IN ARREST,nan,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,26,24,Black,Not Hispanic Or Latino,Male,306,3D,305,WASHINGTON,DC,314003050844660809477559395323623586030,170393282554903313414795744061704474245,38.916,-77.022,Failure to appear,2016,5,FALSE,,,,,{B6274B5D-5829-4C8D-8868-9972614EDCB7}
